year,pacfa_id,license_no,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude,animal_type,measure,value
2007,361.0,,,Applewood Boarding Kennel,2303 Youngfield Street,Golden,Co,80401.0,,,,Dog,Adoption,1
2007,361.0,,,Applewood Boarding Kennel,2303 Youngfield Street,Golden,Co,80401.0,,,,Dog,Other Intake,1
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Cat,Adoption,273
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Cat,Death,10
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Cat,Euthanasia,14
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Cat,Other Intake,339
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Cat,Owner Relinquished,3
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Cat,Transfer Out,15
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Dog,Adoption,229
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Dog,Euthanasia,19
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Dog,Other Intake,436
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Dog,Owner Relinquished,186
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Dog,Transfer Out,4
2007,1726.0,Pl001Ac9,Pet Animal Small Shelter,Ark Valley Humane Society,701 Gregg Dr,Buena Vista,Co,81211.0,Chaffee County,38.825112,-106.137752,Other,Other Intake,32
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Cat,Adoption,109
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Cat,Euthanasia,2
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Cat,Other Intake,110
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Cat,Owner Relinquished,1
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Dog,Adoption,104
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Dog,Euthanasia,1
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Dog,Other Intake,223
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Dog,Owner Relinquished,114
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Dog,Transfer Out,3
2007,5332.0,Pl000Sl5,,Aspen Boarding Kennel & Animal Shelter,"101 Animal Shelter Rd., Suite 1",Aspen,Co,81611.0,Pitkin County,39.226394,-106.865982,Other,Other Intake,6
2007,5331.0,,,"Aunt T'S Pet Motel, Llc","3200 E. Mulberry, #C",Fort Collins,Co,80524.0,,,,Dog,Adoption,53
2007,5331.0,,,"Aunt T'S Pet Motel, Llc","3200 E. Mulberry, #C",Fort Collins,Co,80524.0,,,,Dog,Other Intake,79
2007,5331.0,,,"Aunt T'S Pet Motel, Llc","3200 E. Mulberry, #C",Fort Collins,Co,80524.0,,,,Dog,Owner Relinquished,1
2007,5331.0,,,"Aunt T'S Pet Motel, Llc","3200 E. Mulberry, #C",Fort Collins,Co,80524.0,,,,Dog,Transfer Out,13
2007,1759.0,,,Barnwater Cats,3131 E Evans Ave,Denver,Co,80210.0,,,,Cat,Adoption,18
2007,1759.0,,,Barnwater Cats,3131 E Evans Ave,Denver,Co,80210.0,,,,Cat,Other Intake,13
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Cat,Adoption,119
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Cat,Euthanasia,92
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Cat,Other Intake,346
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Cat,Owner Relinquished,14
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Cat,Transfer Out,121
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Dog,Adoption,121
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Dog,Euthanasia,8
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Dog,Other Intake,480
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Dog,Owner Relinquished,299
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Dog,Transfer Out,52
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Other,Other Intake,5
2007,1629.0,Pl0005Yw,,Bear Creek Animal Hospital,2430 E Victory Way,Craig,Co,81625.0,Moffat County,40.512442,-107.547286,Other,Owner Relinquished,1
2007,2972.0,Pl000Bz4,,Bichon Frise Get Away & Rescue Ranch,1979 Carlson Rd.,Parker,Co,80138.0,Douglas County,39.504232,-104.628107,Dog,Adoption,15
2007,2972.0,Pl000Bz4,,Bichon Frise Get Away & Rescue Ranch,1979 Carlson Rd.,Parker,Co,80138.0,Douglas County,39.504232,-104.628107,Dog,Other Intake,17
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Cat,Adoption,20
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Cat,Death,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Cat,Euthanasia,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Cat,Other Intake,20
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Cat,Owner Relinquished,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Cat,Transfer Out,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Dog,Adoption,46
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Dog,Death,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Dog,Euthanasia,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Dog,Other Intake,46
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Dog,Owner Relinquished,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Dog,Transfer Out,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Other,Other Intake,0
2007,4332.0,Pl001Qj9,,Black Forest Animal Sanctuary,13990 Windy Pine Dr.,Black Forest,Co,80908.0,El Paso County,39.071945,-104.714191,Other,Owner Relinquished,0
2007,5297.0,,,Black Wolf K-9 Training Services,9820 Las Haciendas Pt.,Pueblo,Co,81008.0,,,,Dog,Adoption,1
2007,5297.0,,,Black Wolf K-9 Training Services,9820 Las Haciendas Pt.,Pueblo,Co,81008.0,,,,Dog,Other Intake,1
2007,3960.0,,,Blue Lion Animal Rescue,33955 Torrence Rd.,Yoder,Co,80864.0,,,,Dog,Adoption,35
2007,3960.0,,,Blue Lion Animal Rescue,33955 Torrence Rd.,Yoder,Co,80864.0,,,,Dog,Death,15
